,aic,ar,ma,seasonal_ar,integration,seasonal_ma,warning
200,6739.123051865787,3,4,0,0,0,0
201,1000000.0,3,4,0,0,1,1
202,1000000.0,3,4,0,1,0,1
203,1000000.0,3,4,0,1,1,1
204,1000000.0,3,4,1,0,0,1
205,1000000.0,3,4,1,0,1,1
206,1000000.0,3,4,1,1,0,1
207,1000000.0,3,4,1,1,1,1
208,1000000.0,3,5,0,0,0,1
209,1000000.0,3,5,0,0,1,1
210,1000000.0,3,5,0,1,0,1
211,1000000.0,3,5,0,1,1,1
212,1000000.0,3,5,1,0,0,1
213,1000000.0,3,5,1,0,1,1
214,1000000.0,3,5,1,1,0,1
215,1000000.0,3,5,1,1,1,1
216,1000000.0,3,6,0,0,0,1
217,1000000.0,3,6,0,0,1,1
218,1000000.0,3,6,0,1,0,1
219,1000000.0,3,6,0,1,1,1
220,1000000.0,3,6,1,0,0,1
221,1000000.0,3,6,1,0,1,1
222,1000000.0,3,6,1,1,0,1
223,1000000.0,3,6,1,1,1,1
224,6766.786040361593,4,0,0,0,0,0
225,6528.110823356985,4,0,0,0,1,0
226,6780.401439148352,4,0,0,1,0,0
227,6531.438838358541,4,0,0,1,1,0
228,6700.953541203034,4,0,1,0,0,0
229,1000000.0,4,0,1,0,1,1
230,6710.718027534105,4,0,1,1,0,0
231,6533.227668777337,4,0,1,1,1,0
232,6768.217744680911,4,1,0,0,0,0
233,1000000.0,4,1,0,0,1,1
234,6757.820177980861,4,1,0,1,0,0
235,1000000.0,4,1,0,1,1,1
236,6701.920964903626,4,1,1,0,0,0
237,1000000.0,4,1,1,0,1,1
238,6706.3190906647205,4,1,1,1,0,0
239,1000000.0,4,1,1,1,1,1
240,1000000.0,4,2,0,0,0,1
241,1000000.0,4,2,0,0,1,1
242,1000000.0,4,2,0,1,0,1
243,1000000.0,4,2,0,1,1,1
244,1000000.0,4,2,1,0,0,1
245,6538.494811370725,4,2,1,0,1,0
246,1000000.0,4,2,1,1,0,1
247,1000000.0,4,2,1,1,1,1
248,1000000.0,4,3,0,0,0,1
249,1000000.0,4,3,0,0,1,1
250,1000000.0,4,3,0,1,0,1
251,1000000.0,4,3,0,1,1,1
252,1000000.0,4,3,1,0,0,1
253,1000000.0,4,3,1,0,1,1
254,1000000.0,4,3,1,1,0,1
255,1000000.0,4,3,1,1,1,1
256,1000000.0,4,4,0,0,0,1
257,1000000.0,4,4,0,0,1,1
258,1000000.0,4,4,0,1,0,1
259,1000000.0,4,4,0,1,1,1
260,1000000.0,4,4,1,0,0,1
261,1000000.0,4,4,1,0,1,1
262,1000000.0,4,4,1,1,0,1
263,1000000.0,4,4,1,1,1,1
264,1000000.0,4,5,0,0,0,1
265,1000000.0,4,5,0,0,1,1
266,1000000.0,4,5,0,1,0,1
267,1000000.0,4,5,0,1,1,1
268,1000000.0,4,5,1,0,0,1
269,1000000.0,4,5,1,0,1,1
270,1000000.0,4,5,1,1,0,1
271,1000000.0,4,5,1,1,1,1
272,1000000.0,4,6,0,0,0,1
273,1000000.0,4,6,0,0,1,1
274,1000000.0,4,6,0,1,0,1
275,1000000.0,4,6,0,1,1,1
276,1000000.0,4,6,1,0,0,1
277,1000000.0,4,6,1,0,1,1
278,1000000.0,4,6,1,1,0,1
279,1000000.0,4,6,1,1,1,1
280,6767.570229270695,5,0,0,0,0,0
281,6527.403998762138,5,0,0,0,1,0
282,6780.478023200643,5,0,0,1,0,0
283,6531.830465060016,5,0,0,1,1,0
284,6700.161919801312,5,0,1,0,0,0
285,6529.160311480062,5,0,1,0,1,0
286,6710.816907467399,5,0,1,1,0,0
287,6533.621657874676,5,0,1,1,1,0
288,6769.578562547654,5,1,0,0,0,0
289,1000000.0,5,1,0,0,1,1
290,6758.726715495674,5,1,0,1,0,0
291,6514.169607292306,5,1,0,1,1,0
292,6702.159969744648,5,1,1,0,0,0
293,1000000.0,5,1,1,0,1,1
294,6690.665257234352,5,1,1,1,0,0
295,1000000.0,5,1,1,1,1,1
296,1000000.0,5,2,0,0,0,1
297,1000000.0,5,2,0,0,1,1
298,1000000.0,5,2,0,1,0,1
299,1000000.0,5,2,0,1,1,1
300,1000000.0,5,2,1,0,0,1
301,1000000.0,5,2,1,0,1,1
302,1000000.0,5,2,1,1,0,1
303,1000000.0,5,2,1,1,1,1
304,1000000.0,5,3,0,0,0,1
305,1000000.0,5,3,0,0,1,1
306,1000000.0,5,3,0,1,0,1
307,1000000.0,5,3,0,1,1,1
308,1000000.0,5,3,1,0,0,1
309,1000000.0,5,3,1,0,1,1
310,1000000.0,5,3,1,1,0,1
311,1000000.0,5,3,1,1,1,1
312,1000000.0,5,4,0,0,0,1
313,1000000.0,5,4,0,0,1,1
314,1000000.0,5,4,0,1,0,1
315,1000000.0,5,4,0,1,1,1
316,1000000.0,5,4,1,0,0,1
317,1000000.0,5,4,1,0,1,1
318,1000000.0,5,4,1,1,0,1
319,1000000.0,5,4,1,1,1,1
320,1000000.0,5,5,0,0,0,1
321,1000000.0,5,5,0,0,1,1
322,1000000.0,5,5,0,1,0,1
323,1000000.0,5,5,0,1,1,1
324,1000000.0,5,5,1,0,0,1
325,1000000.0,5,5,1,0,1,1
326,1000000.0,5,5,1,1,0,1
327,1000000.0,5,5,1,1,1,1
328,1000000.0,5,6,0,0,0,1
329,1000000.0,5,6,0,0,1,1
330,1000000.0,5,6,0,1,0,1
331,1000000.0,5,6,0,1,1,1
332,1000000.0,5,6,1,0,0,1
333,1000000.0,5,6,1,0,1,1
334,1000000.0,5,6,1,1,0,1
335,1000000.0,5,6,1,1,1,1
336,6769.578288385613,6,0,0,0,0,0
337,6529.370541528524,6,0,0,0,1,0
338,6773.931091324483,6,0,0,1,0,0
339,6524.892629561476,6,0,0,1,1,0
340,6702.155485585092,6,0,1,0,0,0
341,6531.131722001023,6,0,1,0,1,0
342,6702.9759275808665,6,0,1,1,0,0
343,6526.754636406237,6,0,1,1,1,0
344,6769.731514029175,6,1,0,0,0,0
345,1000000.0,6,1,0,0,1,1
346,6774.749985194132,6,1,0,1,0,0
347,6535.319223711301,6,1,0,1,1,0
348,1000000.0,6,1,1,0,0,1
349,1000000.0,6,1,1,0,1,1
350,6703.509564607122,6,1,1,1,0,0
351,6537.514885708445,6,1,1,1,1,0
352,1000000.0,6,2,0,0,0,1
353,1000000.0,6,2,0,0,1,1
354,6751.588582983148,6,2,0,1,0,0
355,6518.139040167074,6,2,0,1,1,0
356,1000000.0,6,2,1,0,0,1
357,1000000.0,6,2,1,0,1,1
358,6686.7267245203475,6,2,1,1,0,0
359,6541.003344622973,6,2,1,1,1,0
360,1000000.0,6,3,0,0,0,1
361,1000000.0,6,3,0,0,1,1
362,1000000.0,6,3,0,1,0,1
363,1000000.0,6,3,0,1,1,1
364,1000000.0,6,3,1,0,0,1
365,1000000.0,6,3,1,0,1,1
366,1000000.0,6,3,1,1,0,1
367,1000000.0,6,3,1,1,1,1
368,1000000.0,6,4,0,0,0,1
369,1000000.0,6,4,0,0,1,1
370,1000000.0,6,4,0,1,0,1
371,1000000.0,6,4,0,1,1,1
372,1000000.0,6,4,1,0,0,1
373,1000000.0,6,4,1,0,1,1
374,1000000.0,6,4,1,1,0,1
375,1000000.0,6,4,1,1,1,1
376,1000000.0,6,5,0,0,0,1
377,1000000.0,6,5,0,0,1,1
378,1000000.0,6,5,0,1,0,1
379,1000000.0,6,5,0,1,1,1
380,1000000.0,6,5,1,0,0,1
381,1000000.0,6,5,1,0,1,1
382,1000000.0,6,5,1,1,0,1
383,1000000.0,6,5,1,1,1,1
384,1000000.0,6,6,0,0,0,1
385,1000000.0,6,6,0,0,1,1
386,1000000.0,6,6,0,1,0,1
387,1000000.0,6,6,0,1,1,1
388,1000000.0,6,6,1,0,0,1
389,1000000.0,6,6,1,0,1,1
390,1000000.0,6,6,1,1,0,1
391,1000000.0,6,6,1,1,1,1
