,Date,Hour,Count
2014-04-23 18:00:00,2014-04-23,18,1516
2014-04-23 19:00:00,2014-04-23,19,1535
2014-04-23 20:00:00,2014-04-23,20,1659
2014-04-23 21:00:00,2014-04-23,21,1393
2014-04-23 22:00:00,2014-04-23,22,934
2014-04-23 23:00:00,2014-04-23,23,476
2014-04-24 00:00:00,2014-04-24,0,195
2014-04-24 01:00:00,2014-04-24,1,139
2014-04-24 02:00:00,2014-04-24,2,103
2014-04-24 03:00:00,2014-04-24,3,152
2014-04-24 04:00:00,2014-04-24,4,235
2014-04-24 05:00:00,2014-04-24,5,393
2014-04-24 06:00:00,2014-04-24,6,830
2014-04-24 07:00:00,2014-04-24,7,1114
2014-04-24 08:00:00,2014-04-24,8,1020
2014-04-24 09:00:00,2014-04-24,9,753
2014-04-24 10:00:00,2014-04-24,10,640
2014-04-24 11:00:00,2014-04-24,11,675
2014-04-24 12:00:00,2014-04-24,12,709
2014-04-24 13:00:00,2014-04-24,13,864
2014-04-24 14:00:00,2014-04-24,14,1110
2014-04-24 15:00:00,2014-04-24,15,1423
2014-04-24 16:00:00,2014-04-24,16,1680
2014-04-24 17:00:00,2014-04-24,17,1917
2014-04-24 18:00:00,2014-04-24,18,1794
2014-04-24 19:00:00,2014-04-24,19,1702
2014-04-24 20:00:00,2014-04-24,20,1779
2014-04-24 21:00:00,2014-04-24,21,1865
2014-04-24 22:00:00,2014-04-24,22,1490
