aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
1000000.0,3,8,0,1,1,1
1000000.0,3,8,1,0,0,1
1000000.0,3,8,1,0,1,1
1000000.0,3,8,1,1,0,1
1000000.0,3,8,1,1,1,1
1000000.0,3,9,0,0,0,1
1000000.0,3,9,0,0,1,1
1000000.0,3,9,0,1,0,1
1000000.0,3,9,0,1,1,1
1000000.0,3,9,1,0,0,1
1000000.0,3,9,1,0,1,1
1000000.0,3,9,1,1,0,1
1000000.0,3,9,1,1,1,1
1000000.0,3,10,0,0,0,1
1000000.0,3,10,0,0,1,1
1000000.0,3,10,0,1,0,1
1000000.0,3,10,0,1,1,1
1000000.0,3,10,1,0,0,1
1000000.0,3,10,1,0,1,1
1000000.0,3,10,1,1,0,1
1000000.0,3,10,1,1,1,1
1000000.0,3,11,0,0,0,1
1000000.0,3,11,0,0,1,1
1000000.0,3,11,0,1,0,1
1000000.0,3,11,0,1,1,1
1000000.0,3,11,1,0,0,1
1000000.0,3,11,1,0,1,1
1000000.0,3,11,1,1,0,1
1000000.0,3,11,1,1,1,1
7188.907741135901,4,0,0,0,0,0
7103.371758530046,4,0,0,0,1,0
6780.401439148352,4,0,0,1,0,0
6531.438838358541,4,0,0,1,1,0
7037.039823516241,4,0,1,0,0,0
1000000.0,4,0,1,0,1,1
6710.718027534105,4,0,1,1,0,0
6533.227668777337,4,0,1,1,1,0
7188.434056009592,4,1,0,0,0,0
7104.671982595621,4,1,0,0,1,0
6757.820177980861,4,1,0,1,0,0
1000000.0,4,1,0,1,1,1
7038.533910839433,4,1,1,0,0,0
6964.015972932533,4,1,1,0,1,0
6706.3190906647205,4,1,1,1,0,0
1000000.0,4,1,1,1,1,1
1000000.0,4,2,0,0,0,1
1000000.0,4,2,0,0,1,1
1000000.0,4,2,0,1,0,1
1000000.0,4,2,0,1,1,1
1000000.0,4,2,1,0,0,1
1000000.0,4,2,1,0,1,1
1000000.0,4,2,1,1,0,1
1000000.0,4,2,1,1,1,1
1000000.0,4,3,0,0,0,1
1000000.0,4,3,0,0,1,1
1000000.0,4,3,0,1,0,1
1000000.0,4,3,0,1,1,1
1000000.0,4,3,1,0,0,1
1000000.0,4,3,1,0,1,1
1000000.0,4,3,1,1,0,1
1000000.0,4,3,1,1,1,1
1000000.0,4,4,0,0,0,1
1000000.0,4,4,0,0,1,1
1000000.0,4,4,0,1,0,1
1000000.0,4,4,0,1,1,1
1000000.0,4,4,1,0,0,1
1000000.0,4,4,1,0,1,1
1000000.0,4,4,1,1,0,1
1000000.0,4,4,1,1,1,1
1000000.0,4,5,0,0,0,1
1000000.0,4,5,0,0,1,1
