,aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
286,2078.0961335923876,2,1,2,1,1,0
287,1000000.0,2,1,2,1,2,1
288,1000000.0,2,2,0,0,0,1
289,1000000.0,2,2,0,0,1,1
290,1000000.0,2,2,0,0,2,1
291,2259.3456975968293,2,2,0,1,0,0
292,1000000.0,2,2,0,1,1,1
293,1000000.0,2,2,0,1,2,1
294,1000000.0,2,2,1,0,0,1
295,1000000.0,2,2,1,0,1,1
296,1000000.0,2,2,1,0,2,1
297,1000000.0,2,2,1,1,0,1
298,1000000.0,2,2,1,1,1,1
299,1000000.0,2,2,1,1,2,1
300,1000000.0,2,2,2,0,0,1
301,1000000.0,2,2,2,0,1,1
302,1000000.0,2,2,2,0,2,1
303,2073.822024362516,2,2,2,1,0,0
304,1000000.0,2,2,2,1,1,1
305,1000000.0,2,2,2,1,2,1
306,1000000.0,2,3,0,0,0,1
307,1000000.0,2,3,0,0,1,1
308,1000000.0,2,3,0,0,2,1
309,2260.635117301107,2,3,0,1,0,0
310,1000000.0,2,3,0,1,1,1
311,1000000.0,2,3,0,1,2,1
312,1000000.0,2,3,1,0,0,1
313,1000000.0,2,3,1,0,1,1
314,1000000.0,2,3,1,0,2,1
315,1000000.0,2,3,1,1,0,1
316,1000000.0,2,3,1,1,1,1
317,1000000.0,2,3,1,1,2,1
318,1000000.0,2,3,2,0,0,1
319,1000000.0,2,3,2,0,1,1
320,1000000.0,2,3,2,0,2,1
321,2083.346516537841,2,3,2,1,0,0
322,1000000.0,2,3,2,1,1,1
323,1000000.0,2,3,2,1,2,1
324,2468.314454308519,2,4,0,0,0,0
325,2469.893850358394,2,4,0,0,1,0
326,1000000.0,2,4,0,0,2,1
327,1000000.0,2,4,0,1,0,1
328,1000000.0,2,4,0,1,1,1
329,1000000.0,2,4,0,1,2,1
330,2469.4163612647944,2,4,1,0,0,0
331,1000000.0,2,4,1,0,1,1
332,1000000.0,2,4,1,0,2,1
333,2083.3436852505097,2,4,1,1,0,0
334,1000000.0,2,4,1,1,1,1
335,1000000.0,2,4,1,1,2,1
336,1000000.0,2,4,2,0,0,1
337,2388.3572829122027,2,4,2,0,1,0
338,1000000.0,2,4,2,0,2,1
339,1000000.0,2,4,2,1,0,1
340,1000000.0,2,4,2,1,1,1
341,1000000.0,2,4,2,1,2,1
342,1000000.0,2,5,0,0,0,1
343,1000000.0,2,5,0,0,1,1
344,1000000.0,2,5,0,0,2,1
345,1000000.0,2,5,0,1,0,1
346,2145.124664172544,2,5,0,1,1,0
347,1000000.0,2,5,0,1,2,1
348,1000000.0,2,5,1,0,0,1
349,1000000.0,2,5,1,0,1,1
350,1000000.0,2,5,1,0,2,1
351,2084.6093295959454,2,5,1,1,0,0
352,2083.976342114412,2,5,1,1,1,0
353,1000000.0,2,5,1,1,2,1
354,1000000.0,2,5,2,0,0,1
355,1000000.0,2,5,2,0,1,1
356,1000000.0,2,5,2,0,2,1
357,2085.9148299142544,2,5,2,1,0,0
358,2082.612467700398,2,5,2,1,1,0
359,1000000.0,2,5,2,1,2,1
360,2479.329630217967,2,6,0,0,0,0
361,2480.8010573630927,2,6,0,0,1,0
362,1000000.0,2,6,0,0,2,1
363,1000000.0,2,6,0,1,0,1
364,1000000.0,2,6,0,1,1,1
365,1000000.0,2,6,0,1,2,1
366,2480.0269625348583,2,6,1,0,0,0
367,1000000.0,2,6,1,0,1,1
368,1000000.0,2,6,1,0,2,1
369,1000000.0,2,6,1,1,0,1
370,1000000.0,2,6,1,1,1,1
371,1000000.0,2,6,1,1,2,1
372,1000000.0,2,6,2,0,0,1
373,1000000.0,2,6,2,0,1,1
374,1000000.0,2,6,2,0,2,1
375,1000000.0,2,6,2,1,0,1
376,1000000.0,2,6,2,1,1,1
377,1000000.0,2,6,2,1,2,1
378,2489.3270358370755,3,0,0,0,0,0
379,2488.672571296124,3,0,0,0,1,0
380,1000000.0,3,0,0,0,2,1
381,2258.5944725876498,3,0,0,1,0,0
382,2135.9655473576527,3,0,0,1,1,0
383,1000000.0,3,0,0,1,2,1
384,2485.3711055482368,3,0,1,0,0,0
385,1000000.0,3,0,1,0,1,1
386,1000000.0,3,0,1,0,2,1
387,2075.0867963376895,3,0,1,1,0,0
