,aic_sarima,mae_test_sarima,mae_train_sarima,mae_train_sarimax,mae_test_sarimax,aic_sarimax,label
52,31416.474551845116,353.84436184670807,51.60367848227094,52.637956935922006,161.18286799438442,31779.81816148995,4
53,32035.956557367135,106.50654374507342,51.96166669152358,53.143190162964395,139.05944826062378,32406.734342777832,4
54,32573.143412831443,163.91893163187626,51.91176423627096,52.63780669761469,137.26688967783548,32889.02801895219,4
55,33253.14413767041,131.69362972554288,52.4363801355788,54.10127462468455,137.17891493246472,33660.65154694696,4
56,33795.6568626707,136.77320687684244,52.41670296395686,53.513153833521315,199.4692055681111,34160.5975971367,4
57,34367.17491630608,364.90481429310006,52.56606716466572,53.9284335101114,135.24462410061093,34747.008088429335,4
58,34990.70156975998,107.57003492586485,52.83530917697836,54.32543600520899,115.97425698763185,35385.059081607615,4
59,35532.97750338643,142.27338269961953,52.74858009781334,53.9306350701126,113.4722087899297,35900.17317914378,4
60,22430.365405831435,16.69229502629737,12.174527554121857,12.710005665717741,29.630488145191453,22848.280133123502,5
61,22832.269113479157,30.79957502345407,12.159107447780048,12.66065069624804,43.233748667570524,23215.39304431359,5
62,23268.735915534773,61.963496692569066,12.230801610378084,12.782620791690501,37.66395056952304,23702.371448059712,5
63,23736.239303579106,15.57052626550933,12.316888659696492,12.927076592661434,33.61454733296443,24193.15384037145,5
64,24178.205858599067,28.603163781101326,12.409719653787324,12.996782624891688,32.11704193928136,24600.048142103464,5
65,24657.800134469624,19.0269152232264,12.517866181813396,13.209123316529562,30.963768310832474,25151.021843892555,5
66,25065.06778733112,24.890561050887257,12.542260859572425,13.182181622829214,42.6202197221447,25521.92535774489,5
67,25523.054572725,66.11143084738869,12.66376463803166,13.363663242833764,38.67125997129199,26027.800601661824,5
68,25974.305138049902,17.57887818595381,12.666859512600709,13.436992007338176,43.159759969249905,26492.016328529204,5
69,26387.42016980698,34.98356465833587,12.674636571266769,13.397425953884527,33.969357023417324,26872.85879709822,5
