,aic_sarima,mae_test_sarima,mae_train_sarima,mae_train_sarimax,mae_test_sarimax,aic_sarimax,label
25,13471.352054082778,3.496019277801641,3.1415244894778245,3.148490525272608,4.074880140852675,13647.43513523378,2
26,14343.36464439349,4.791482433863408,3.1518786711232396,3.165676254213931,6.125523910055175,14526.789153931104,2
27,15290.65716148966,4.4433599953788985,3.2038974262059425,3.2300084247207077,5.374068179827424,15485.761152625457,2
28,16223.135028642559,3.8687068793355928,3.2406297079565087,3.2800650934096813,5.904484610837631,16449.92629165911,2
29,17113.003231537823,4.671627851809363,3.2573015965934067,3.280070365409722,4.433444176509077,17337.911054198343,2
30,12016.901914665797,12.102546447132001,6.886892508147893,7.246633801435931,15.730474871938398,12340.229154705508,3
31,13219.205095624171,12.076232983057366,7.079258346727972,7.476432485735163,11.346175514729063,13566.152831146599,3
32,14378.760091043467,8.46372964122765,7.163478144179693,7.594451752910713,11.949908774104154,14752.564023405706,3
33,15507.300810486988,7.518471908197213,7.209118065021451,7.810551850531341,11.619820505425357,15967.56743722245,3
34,16616.47625425374,8.803002690919644,7.230884872320565,7.74040910890978,11.751936054951877,17040.46788546109,3
35,17764.184045885322,7.73907664568151,7.305838947287179,7.854007865691348,10.61986750535786,18221.231534069506,3
36,18870.49225038173,13.65009317852013,7.281644130745937,7.8549127841254,20.63833539449976,19346.921398502185,3
37,20222.127395058917,10.457846760123736,7.573438464311179,8.149897145154334,13.411173549538917,20758.06637900847,3
38,21433.608120044424,9.859039373181554,7.687544514622501,8.295623587959431,15.415274566991696,22008.998848770047,3
39,22584.424038198056,11.845840559848774,7.751910723598481,8.414178113188292,11.534811791978917,23209.83039516007,3
40,19007.80471393736,220.7885166565884,53.54487716164784,53.424887204901566,96.16682851981624,19266.292183356083,4
41,20705.15710788051,81.55586550258244,53.31830633776074,54.403182545556966,112.6907667815195,21053.648715549607,4
42,22452.973504145884,82.60867509702038,53.42338081338004,55.08520392986468,99.24727954370779,22879.023541965013,4
43,24157.25887608181,79.86751013650034,52.95309339935642,54.613025723398536,107.91931204176703,24582.502730879,4
44,25840.84461299528,107.14336299653914,52.21860728301514,52.63978945852365,75.00372733752589,26141.600709264607,4
45,27571.814842255728,113.417632460218,52.36517521518347,52.99940700578724,78.053369997499,27886.815494188384,4
46,29294.112126195494,99.00304309666201,52.06805412684705,53.75846207438187,94.353650364585,29700.268691592202,4
47,30942.298369727283,128.7573078013062,51.41751612781948,53.07026074435888,176.84682767425053,31418.897898887917,4
48,32714.119166781,132.36538078465267,51.83816921060876,53.633203350824864,156.65534319446465,33218.06995916671,4
49,34652.20666538055,99.6943557725261,52.873205046477274,54.2447824182487,134.80293174086444,35031.38930751415,4
50,13396.091213271848,23.075121026552047,10.64450550218194,10.517758795245843,35.744683870216065,13599.867819914372,5
51,14849.534968892436,16.370830733796353,10.999976887886074,11.108151658593,31.063112877236247,15110.615408827489,5
52,16145.677143525685,17.440595277412207,11.06044598771956,11.378448144948315,41.25326715768557,16462.933460525797,5
53,17479.848085278554,17.280561789817423,11.316177336582166,11.823261501413665,36.03152524393551,17880.540116561926,5
54,18829.73156593864,22.214936393530376,11.501914742934057,12.028968775610831,38.56198886494394,19201.836017753878,5
55,20226.23068259108,19.66357842460092,11.775859103905619,12.300853928531895,36.69961991559189,20629.122137552764,5
56,21572.268112317,27.53345471750999,12.024017035183432,12.560676880430506,41.40578273541509,21994.9554801633,5
57,22895.179624239758,22.7622049668951,12.144213008382257,12.734327817412913,53.82174321376766,23316.51812592339,5
58,24284.809047533854,25.06105983270167,12.399066590183974,13.093568283114854,42.64742503539133,24759.61293538347,5
59,25716.237762283174,24.34253452233526,12.665843876142656,13.441155863830021,50.96979693399583,26239.364528976308,5
